Rk,Squad,MP_x,W,D,L,GF,GA,GD,Pts,Pts/MP,xG_x,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP_y,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_y,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
1,Girona,13,11,1,1,31,16,15,34,2.62,25.0,16.8,8.2,0.63,W W W W W,"12,442",Artem Dovbyk - 7,Paulo Gazzaniga,,22,26.6,56.1,13,143,"1,170",13.0,31,24,55,30,1,1,31,0,25.0,24.2,20.3,44.6,285.0,535.0,2.38,1.85,4.23,2.31,4.15,1.92,1.57,3.49,1.86,3.43
2,Real Madrid,13,10,2,1,28,9,19,32,2.46,24.0,14.0,10.0,0.77,W D W D W,"69,236",Jude Bellingham - 10,Kepa Arrizabalaga,,22,27.7,57.4,13,143,"1,170",13.0,28,22,50,28,0,2,23,1,24.0,22.6,18.0,40.6,337.0,650.0,2.15,1.69,3.85,2.15,3.85,1.84,1.38,3.23,1.74,3.12
3,Barcelona,13,9,3,1,26,13,13,30,2.31,26.8,13.5,13.3,1.02,D W L W W,"42,219",Robert Lewandowski - 7,Marc-André ter Stegen,,24,26.7,66.0,13,143,"1,170",13.0,25,16,41,23,2,2,29,1,26.8,25.2,18.7,43.9,367.0,646.0,1.92,1.23,3.15,1.77,3.0,2.06,1.44,3.5,1.94,3.38
4,Atlético Madrid,12,9,1,2,29,12,17,28,2.33,22.8,10.2,12.7,1.05,W W W L W,"58,486",Antoine Griezmann - 8,Jan Oblak,,22,29.7,51.2,12,132,"1,080",12.0,29,19,48,27,2,2,28,1,22.8,21.4,18.5,39.9,230.0,522.0,2.42,1.58,4.0,2.25,3.83,1.9,1.54,3.44,1.79,3.33
5,Athletic Club,13,7,3,3,25,17,8,24,1.85,23.6,14.8,8.8,0.67,W L D W W,"44,845",Gorka Guruzeta - 6,Unai Simón,,23,28.0,51.7,13,143,"1,170",13.0,25,17,42,22,3,3,37,2,23.6,21.2,16.7,37.9,249.0,542.0,1.92,1.31,3.23,1.69,3.0,1.82,1.28,3.1,1.63,2.92
6,Real Sociedad,13,6,4,3,23,16,7,22,1.69,18.2,15.8,2.4,0.18,L W D L W,"32,234",Mikel Oyarzabal - 7,Álex Remiro,,24,26.1,53.8,13,143,"1,170",13.0,22,15,37,19,3,3,36,0,18.2,15.9,12.1,27.9,234.0,426.0,1.69,1.15,2.85,1.46,2.62,1.4,0.93,2.33,1.22,2.15
7,Betis,13,5,6,2,17,16,1,21,1.62,15.8,15.4,0.4,0.03,D D W W D,"51,447",Willian José - 5,Claudio Bravo,,29,28.4,51.8,13,143,"1,170",13.0,17,11,28,17,0,0,27,1,15.8,15.8,13.0,28.7,257.0,528.0,1.31,0.85,2.15,1.31,2.15,1.21,1.0,2.21,1.21,2.21
8,Las Palmas,13,5,3,5,11,12,-1,18,1.38,11.7,14.9,-3.2,-0.25,W L W W D,"21,214","Jonathan Viera, Marc Cardona... - 2",Álvaro Vallés,,24,26.5,57.6,13,143,"1,170",13.0,11,6,17,8,3,4,32,1,11.7,8.5,7.3,15.8,209.0,534.0,0.85,0.46,1.31,0.62,1.08,0.9,0.56,1.45,0.66,1.21
9,Valencia,13,5,3,5,16,18,-2,18,1.38,15.0,14.1,0.9,0.07,D W D W L,"43,277",Hugo Duro - 6,Giorgi Mamardashvili,,24,24.4,47.4,13,143,"1,170",13.0,16,11,27,14,2,2,24,1,15.0,13.4,10.4,23.8,222.0,415.0,1.23,0.85,2.08,1.08,1.92,1.15,0.8,1.95,1.03,1.83
10,Rayo Vallecano,13,4,6,3,15,17,-2,18,1.38,17.8,22.4,-4.6,-0.35,D W D D L,"12,818",Álvaro García - 4,Stole Dimitrievski,,23,30.2,46.8,13,143,"1,170",13.0,15,8,23,10,5,5,39,2,17.8,13.9,9.6,23.5,158.0,450.0,1.15,0.62,1.77,0.77,1.38,1.37,0.74,2.11,1.07,1.8
11,Getafe,13,3,7,3,15,17,-2,16,1.23,14.0,17.7,-3.7,-0.29,D D D W D,"11,546",Borja Mayoral - 7,David Soria,,24,28.5,40.8,13,143,"1,170",13.0,15,12,27,13,2,2,59,4,14.0,12.4,9.0,21.4,140.0,351.0,1.15,0.92,2.08,1.0,1.92,1.08,0.69,1.76,0.95,1.64
12,Osasuna,13,4,2,7,15,21,-6,14,1.08,14.2,18.2,-3.9,-0.3,L W L L D,"20,357",Ante Budimir - 7,Sergio Herrera,,22,28.4,47.8,13,143,"1,170",13.0,15,9,24,12,3,3,32,3,14.2,11.9,9.3,21.2,194.0,480.0,1.15,0.69,1.85,0.92,1.62,1.1,0.72,1.81,0.91,1.63
13,Sevilla,12,2,6,4,18,17,1,12,1.0,14.1,18.9,-4.7,-0.4,D D D D D,"37,007",Youssef En-Nesyri - 4,Ørjan Nyland,,27,29.8,55.1,12,132,"1,080",12.0,16,9,25,16,0,0,39,1,14.1,14.1,10.8,24.9,226.0,520.0,1.33,0.75,2.08,1.33,2.08,1.18,0.9,2.08,1.18,2.08
14,Villarreal,13,3,3,7,18,24,-6,12,0.92,16.4,23.3,-6.9,-0.53,L D W L L,"18,231",Gerard Moreno - 8,Filip Jørgensen,,25,28.2,54.5,13,143,"1,170",13.0,18,12,30,15,3,3,42,3,16.4,14.1,11.4,25.4,210.0,523.0,1.38,0.92,2.31,1.15,2.08,1.26,0.87,2.14,1.08,1.96
15,Alavés,13,3,3,7,11,18,-7,12,0.92,17.6,16.1,1.5,0.11,D D L W L,"17,512",Samuel Omorodion - 3,Antonio Sivera,,23,26.8,43.8,13,143,"1,170",13.0,9,8,17,9,0,2,30,1,17.6,16.0,12.0,28.0,193.0,462.0,0.69,0.62,1.31,0.69,1.31,1.35,0.92,2.28,1.23,2.15
16,Cádiz,12,2,4,6,10,17,-7,10,0.83,10.0,17.0,-7.0,-0.58,L L L D L,"18,391","Darwin Machís, Chris Ramos - 3",Jeremías Ledesma,,26,29.4,39.7,12,132,"1,080",12.0,10,6,16,9,1,1,37,4,10.0,9.3,6.5,15.7,137.0,259.0,0.83,0.5,1.33,0.75,1.25,0.84,0.54,1.38,0.77,1.31
17,Mallorca,12,1,6,5,12,18,-6,9,0.75,13.8,17.7,-3.9,-0.33,D D L D L,"17,545","Abdón Prats, Vedat Muriqi - 4",Predrag Rajković,,21,28.8,41.8,12,132,"1,080",12.0,12,9,21,11,1,3,37,2,13.8,11.5,9.4,20.9,152.0,281.0,1.0,0.75,1.75,0.92,1.67,1.15,0.78,1.93,0.96,1.74
18,Celta Vigo,13,1,4,8,14,24,-10,7,0.54,18.1,21.2,-3.1,-0.24,D L L D L,"19,447",Jørgen Strand Larsen - 4,Iván Villar,,24,26.9,43.0,13,143,"1,170",13.0,13,9,22,13,0,2,24,3,18.1,16.7,13.2,29.9,234.0,407.0,1.0,0.69,1.69,1.0,1.69,1.39,1.02,2.41,1.28,2.3
19,Granada,13,1,4,8,18,30,-12,7,0.54,16.2,26.8,-10.5,-0.81,D L L L D,"17,866",Bryan Zaragoza - 5,André Ferreira,,27,27.5,45.1,13,143,"1,170",13.0,17,15,32,15,2,3,38,2,16.2,13.9,12.1,26.0,190.0,332.0,1.31,1.15,2.46,1.15,2.31,1.25,0.93,2.18,1.07,2.0
20,Almería,13,0,3,10,15,35,-20,3,0.23,17.1,23.5,-6.4,-0.49,L L L L L,"14,325",Sergio Arribas - 5,Luís Maximiano,,27,25.7,47.9,13,143,"1,170",13.0,15,9,24,14,1,1,30,1,17.1,16.3,12.3,28.6,197.0,373.0,1.15,0.69,1.85,1.08,1.77,1.31,0.95,2.26,1.25,2.2
1,Manchester City,12,9,1,2,32,12,20,28,2.33,24.4,11.1,13.3,1.11,L W W W D,"42,627",Erling Haaland - 13,Ederson,,25,26.8,62.5,12,132,"1,080",12.0,32,24,56,29,3,4,23,2,24.4,21.3,18.5,39.8,340.0,608.0,2.67,2.0,4.67,2.42,4.42,2.03,1.54,3.58,1.78,3.32
2,Liverpool,12,8,3,1,27,10,17,27,2.25,26.5,14.5,12.0,1.0,D W W D W,"50,648",Mohamed Salah - 10,Alisson,,22,27.2,58.5,12,132,"1,080",12.0,25,17,42,22,3,4,22,4,26.5,23.2,19.0,42.2,277.0,632.0,2.08,1.42,3.5,1.83,3.25,2.21,1.58,3.79,1.93,3.52
3,Arsenal,12,8,3,1,26,10,16,27,2.25,21.0,9.2,11.8,0.99,W D W L W,"51,526",Eddie Nketiah - 5,David Raya,,23,25.2,60.7,12,132,"1,080",12.0,25,14,39,19,6,6,18,2,21.0,16.5,12.7,29.3,245.0,630.0,2.08,1.17,3.25,1.58,2.75,1.75,1.06,2.81,1.38,2.44
4,Tottenham,12,8,2,2,24,15,9,26,2.17,19.2,18.6,0.6,0.05,W W W L L,"61,726",Son Heung-min - 8,Guglielmo Vicario,,24,25.5,59.5,12,132,"1,080",12.0,21,19,40,21,0,0,38,3,19.2,19.2,16.4,35.6,305.0,639.0,1.75,1.58,3.33,1.75,3.33,1.6,1.36,2.96,1.6,2.96
5,Aston Villa,12,8,1,3,29,17,12,25,2.08,23.5,15.9,7.7,0.64,D W W L W,"34,443",Ollie Watkins - 6,Emiliano Martínez,,23,27.1,53.8,12,132,"1,080",12.0,26,18,44,23,3,3,28,0,23.5,21.2,16.7,37.9,254.0,496.0,2.17,1.5,3.67,1.92,3.42,1.96,1.39,3.35,1.77,3.16
6,Manchester Utd,12,7,0,5,13,16,-3,21,1.75,17.5,18.9,-1.3,-0.11,W W L W W,"73,504","Bruno Fernandes, Scott McTominay - 3",André Onana,,25,27.3,54.3,12,132,"1,080",12.0,13,10,23,12,1,1,26,0,17.5,16.7,13.9,30.6,249.0,578.0,1.08,0.83,1.92,1.0,1.83,1.46,1.16,2.62,1.39,2.55
7,Newcastle Utd,12,6,2,4,27,13,14,20,1.67,23.4,13.2,10.1,0.84,D W D W L,"52,027",Callum Wilson - 7,Nick Pope,,25,28.1,53.1,12,132,"1,080",12.0,27,17,44,24,3,3,33,0,23.4,21.0,14.9,35.9,219.0,464.0,2.25,1.42,3.67,2.0,3.42,1.95,1.24,3.19,1.75,2.99
8,Brighton,12,5,4,3,25,21,4,19,1.58,20.8,17.0,3.8,0.31,D L D D D,"31,612",Evan Ferguson - 5,Jason Steele,,25,27.2,61.4,12,132,"1,080",12.0,23,18,41,22,1,1,30,1,20.8,20.0,16.5,36.5,284.0,546.0,1.92,1.5,3.42,1.83,3.33,1.73,1.38,3.11,1.67,3.04
9,West Ham,12,5,2,5,21,22,-1,17,1.42,17.6,22.2,-4.6,-0.39,D L L L W,"62,466",Jarrod Bowen - 8,Alphonse Areola,,20,28.8,42.1,12,132,"1,080",12.0,21,17,38,20,1,1,32,1,17.6,16.8,13.1,29.9,186.0,387.0,1.75,1.42,3.17,1.67,3.08,1.47,1.09,2.56,1.4,2.49
10,Chelsea,12,4,4,4,21,16,5,16,1.33,25.2,15.0,10.2,0.85,W D L W D,"39,763",Nicolas Jackson - 6,Robert Sánchez,,23,25.1,60.3,12,132,"1,080",12.0,20,12,32,16,4,5,40,1,25.2,21.3,16.0,37.3,302.0,529.0,1.67,1.0,2.67,1.33,2.33,2.1,1.33,3.44,1.78,3.11
11,Brentford,12,4,4,4,19,17,2,16,1.33,22.1,16.3,5.8,0.48,L W W W L,"17,025",Bryan Mbeumo - 6,Mark Flekken,,25,26.5,47.7,12,132,"1,080",12.0,18,13,31,16,2,2,30,0,22.1,20.8,16.7,37.5,172.0,456.0,1.5,1.08,2.58,1.33,2.42,1.84,1.39,3.23,1.73,3.12
12,Wolves,12,4,3,5,16,20,-4,15,1.25,16.4,19.5,-3.1,-0.26,D W D L W,"26,166",Hwang Hee-chan - 6,José Sá,,21,27.0,47.8,12,132,"1,080",12.0,15,14,29,15,0,0,41,3,16.4,16.4,12.8,29.2,230.0,373.0,1.25,1.17,2.42,1.25,2.42,1.37,1.07,2.43,1.37,2.43
13,Crystal Palace,12,4,3,5,12,16,-4,15,1.25,14.2,16.7,-2.6,-0.21,D L L W L,"24,866",Odsonne Édouard - 5,Sam Johnstone,,22,27.7,43.7,12,132,"1,080",12.0,12,10,22,11,1,1,22,0,14.2,13.4,11.6,25.0,167.0,374.0,1.0,0.83,1.83,0.92,1.75,1.18,0.97,2.15,1.12,2.08
14,Everton,12,4,2,6,14,17,-3,14,1.17,17.9,15.8,2.1,0.18,W L W D W,"39,133",Abdoulaye Doucouré - 4,Jordan Pickford,,23,27.5,40.0,12,132,"1,080",12.0,14,7,21,14,0,0,25,1,17.9,17.9,13.1,31.0,174.0,329.0,1.17,0.58,1.75,1.17,1.75,1.49,1.09,2.59,1.49,2.59
15,Nott'ham Forest,12,3,4,5,14,18,-4,13,1.08,13.2,18.7,-5.5,-0.45,D D L W L,"29,214",Taiwo Awoniyi - 4,Matt Turner,,27,26.6,38.9,12,132,"1,080",12.0,14,12,26,14,0,0,34,2,13.2,13.2,9.4,22.6,166.0,320.0,1.17,1.0,2.17,1.17,2.17,1.1,0.78,1.88,1.1,1.88
16,Fulham,12,3,3,6,10,20,-10,12,1.0,12.4,22.0,-9.6,-0.8,W L D L L,"24,385","Bobby Reid, João Palhinha - 2",Bernd Leno,,23,29.4,48.7,12,132,"1,080",12.0,9,4,13,9,0,0,35,2,12.4,12.4,8.9,21.3,194.0,417.0,0.75,0.33,1.08,0.75,1.08,1.03,0.75,1.77,1.03,1.77
17,Bournemouth,12,2,3,7,11,27,-16,9,0.75,13.8,24.2,-10.4,-0.86,L L W L W,"10,993",Dominic Solanke - 6,Neto,,25,25.7,42.9,12,132,"1,080",12.0,11,6,17,11,0,0,20,1,13.8,13.8,9.3,23.1,197.0,352.0,0.92,0.5,1.42,0.92,1.42,1.15,0.77,1.93,1.15,1.93
18,Luton Town,12,1,3,8,10,22,-12,6,0.5,12.9,24.7,-11.8,-0.98,L D L D L,"10,790",Carlton Morris - 3,Thomas Kaminski,,23,27.2,36.2,12,132,"1,080",12.0,9,5,14,7,2,2,20,0,12.9,11.3,8.5,19.8,179.0,337.0,0.75,0.42,1.17,0.58,1.0,1.07,0.71,1.78,0.95,1.65
19,Sheffield Utd,12,1,2,9,10,31,-21,5,0.42,9.7,26.2,-16.5,-1.38,L L L W D,"30,963","Gustavo Hamer, Cameron Archer - 2",Wes Foderingham,,27,26.9,38.2,12,132,"1,080",12.0,7,3,10,5,2,2,35,1,9.7,8.1,4.8,12.9,98.0,282.0,0.58,0.25,0.83,0.42,0.67,0.8,0.4,1.21,0.67,1.08
20,Burnley,12,1,1,10,9,30,-21,4,0.33,9.9,22.0,-12.1,-1.01,L L L L L,"21,623",Lyle Foster - 3,James Trafford,,25,25.0,49.9,12,132,"1,080",12.0,9,8,17,9,0,0,25,3,9.9,9.9,8.0,17.9,204.0,343.0,0.75,0.67,1.42,0.75,1.42,0.83,0.67,1.49,0.83,1.49
1,Inter,12,10,1,1,29,6,23,31,2.58,24.6,8.3,16.3,1.35,D W W W W,"10,796",Lautaro Martínez - 12,Yann Sommer,,23,29.7,54.6,12,132,"1,080",12.0,29,22,51,23,6,6,16,0,24.6,19.9,17.1,37.1,250.0,497.0,2.42,1.83,4.25,1.92,3.75,2.05,1.43,3.48,1.66,3.09
2,Juventus,12,9,2,1,19,7,12,29,2.42,19.8,7.7,12.1,1.01,W W W W W,,"Dušan Vlahović, Federico Chiesa - 4",Wojciech Szczęsny,,24,27.0,48.6,12,132,"1,080",12.0,18,13,31,17,1,2,33,0,19.8,18.3,14.3,32.6,228.0,420.0,1.5,1.08,2.58,1.42,2.5,1.65,1.19,2.84,1.52,2.72
3,Milan,12,7,2,3,20,14,6,23,1.92,16.7,13.4,3.3,0.28,W L D L D,,Olivier Giroud - 7,Mike Maignan,,25,26.9,56.8,12,132,"1,080",12.0,20,15,35,17,3,3,34,4,16.7,14.5,10.6,25.1,274.0,480.0,1.67,1.25,2.92,1.42,2.67,1.39,0.89,2.28,1.2,2.09
4,Napoli,12,6,3,3,24,13,11,21,1.75,23.0,10.3,12.7,1.06,L W D W L,,Victor Osimhen - 6,Alex Meret,,23,27.2,58.8,12,132,"1,080",12.0,24,16,40,20,4,6,23,1,23.0,18.3,14.3,32.7,258.0,562.0,2.0,1.33,3.33,1.67,3.0,1.92,1.19,3.11,1.53,2.72
5,Atalanta,12,6,2,4,20,11,9,20,1.67,14.7,9.7,5.0,0.41,L W W L D,,Gianluca Scamacca - 5,Juan Musso,,24,27.1,53.3,12,132,"1,080",12.0,20,19,39,20,0,0,22,1,14.7,14.7,11.5,26.2,252.0,546.0,1.67,1.58,3.25,1.67,3.25,1.23,0.96,2.18,1.23,2.18
6,Fiorentina,12,6,2,4,20,16,4,20,1.67,12.6,16.2,-3.6,-0.3,W L L L W,"7,191",Nicolás González - 6,Pietro Terracciano,,26,27.3,56.6,12,132,"1,080",12.0,19,13,32,18,1,1,22,0,12.6,11.8,9.2,21.1,198.0,535.0,1.58,1.08,2.67,1.5,2.58,1.05,0.77,1.82,0.98,1.76
7,Roma,12,5,3,4,22,14,8,18,1.5,16.6,11.2,5.5,0.46,W W L W D,"21,135",Romelu Lukaku - 6,Rui Patrício,,23,28.7,54.3,12,132,"1,080",12.0,21,17,38,20,1,2,29,0,16.6,15.2,12.1,27.3,231.0,423.0,1.75,1.42,3.17,1.67,3.08,1.39,1.01,2.39,1.27,2.27
8,Bologna,12,4,6,2,13,10,3,18,1.5,14.0,11.3,2.7,0.22,D W D W L,,"Riccardo Orsolini, Joshua Zirkzee - 4",Łukasz Skorupski,,24,26.1,54.0,12,132,"1,080",12.0,13,7,20,11,2,3,27,1,14.0,11.6,7.4,19.1,202.0,426.0,1.08,0.58,1.67,0.92,1.5,1.17,0.62,1.79,0.97,1.59
9,Monza,12,4,5,3,13,11,2,17,1.42,14.4,14.2,0.2,0.01,W L D W D,,Andrea Colpani - 6,Michele Di Gregorio,,25,27.4,53.8,12,132,"1,080",12.0,13,10,23,12,1,1,29,2,14.4,13.8,10.7,24.5,250.0,441.0,1.08,0.83,1.92,1.0,1.83,1.2,0.9,2.09,1.15,2.04
10,Lazio,12,5,2,5,13,13,0,17,1.42,13.3,12.1,1.2,0.1,W W W L D,,"Luis Alberto, Ciro Immobile - 3",Ivan Provedel,,20,29.2,51.3,12,132,"1,080",12.0,12,9,21,10,2,2,31,0,13.3,11.8,8.1,19.8,254.0,488.0,1.0,0.75,1.75,0.83,1.58,1.11,0.67,1.78,0.98,1.65
11,Torino,12,4,4,4,10,14,-4,16,1.33,11.6,13.2,-1.6,-0.13,L L W W D,,Nemanja Radonjić - 3,Vanja Milinković-Savić,,23,26.3,50.7,12,132,"1,080",12.0,10,8,18,10,0,0,23,0,11.6,11.6,9.8,21.4,274.0,438.0,0.83,0.67,1.5,0.83,1.5,0.97,0.81,1.78,0.97,1.78
12,Frosinone,12,4,3,5,17,20,-3,15,1.25,14.8,19.3,-4.5,-0.37,W L L W L,,Matìas Soulé - 5,Stefano Turati,,27,24.6,51.0,12,132,"1,080",12.0,17,11,28,14,3,3,28,1,14.8,12.5,9.7,22.2,148.0,428.0,1.42,0.92,2.33,1.17,2.08,1.24,0.81,2.04,1.04,1.85
13,Lecce,12,3,5,4,13,16,-3,14,1.17,10.9,17.8,-6.9,-0.58,D D L L D,"3,857",Nikola Krstović - 4,Wladimiro Falcone,,23,25.1,46.3,12,132,"1,080",12.0,13,11,24,11,2,2,38,2,10.9,9.4,8.0,17.4,245.0,408.0,1.08,0.92,2.0,0.92,1.83,0.91,0.67,1.57,0.78,1.45
14,Genoa,12,4,2,6,13,16,-3,14,1.17,9.0,11.0,-2.0,-0.17,L L W L W,,Albert Guðmundsson - 5,Josep Martinez,,27,26.9,40.9,12,132,"1,080",12.0,13,11,24,13,0,0,32,2,9.0,9.0,7.4,16.3,119.0,295.0,1.08,0.92,2.0,1.08,2.0,0.75,0.61,1.36,0.75,1.36
15,Sassuolo,12,3,3,6,16,21,-5,12,1.0,13.9,21.2,-7.3,-0.61,D L D L D,,Domenico Berardi - 5,Andrea Consigli,,26,27.1,46.3,12,132,"1,080",12.0,15,11,26,13,2,2,17,1,13.9,12.5,10.4,22.9,223.0,441.0,1.25,0.92,2.17,1.08,2.0,1.16,0.87,2.03,1.04,1.91
16,Udinese,12,1,8,3,8,15,-7,11,0.92,15.1,14.4,0.7,0.06,D D D W D,,"Lazar Samardzic, Lorenzo Lucca - 2",Marco Silvestri,,25,26.5,43.7,12,132,"1,080",12.0,7,4,11,5,2,3,22,1,15.1,13.2,10.6,23.8,218.0,392.0,0.58,0.33,0.92,0.42,0.75,1.26,0.88,2.14,1.1,1.98
17,Empoli,12,3,1,8,5,21,-16,10,0.83,11.7,17.3,-5.5,-0.46,D W L L W,,Francesco Caputo - 2,Etrit Berisha,,29,26.7,43.2,12,132,"1,080",12.0,5,5,10,5,0,0,28,0,11.7,11.7,9.8,21.5,185.0,362.0,0.42,0.42,0.83,0.42,0.83,0.98,0.81,1.79,0.98,1.79
18,Cagliari,12,2,3,7,12,24,-12,9,0.75,13.7,18.8,-5.2,-0.43,L D W W L,,Zito - 3,Boris Radunović,,25,26.0,43.1,12,132,"1,080",12.0,12,10,22,11,1,2,23,1,13.7,12.3,9.6,21.9,205.0,394.0,1.0,0.83,1.83,0.92,1.75,1.14,0.8,1.94,1.03,1.82
19,Hellas Verona,12,2,2,8,7,16,-9,8,0.67,7.3,17.1,-9.8,-0.82,L L L L L,,Cyril Ngonge - 2,Lorenzo Montipò,,24,26.5,45.5,12,132,"1,080",12.0,7,4,11,7,0,0,29,1,7.3,7.3,5.8,13.1,146.0,333.0,0.58,0.33,0.92,0.58,0.92,0.61,0.48,1.09,0.61,1.09
20,Salernitana,12,0,5,7,8,24,-16,5,0.42,8.6,21.7,-13.1,-1.09,L D L L D,,Boulaye Dia - 4,Guillermo Ochoa,,25,27.6,47.5,12,132,"1,080",12.0,8,6,14,7,1,1,29,0,8.6,7.8,6.1,13.9,194.0,402.0,0.67,0.5,1.17,0.58,1.08,0.72,0.51,1.23,0.65,1.16
1,Leverkusen,11,10,1,0,34,10,24,31,2.82,23.5,11.3,12.2,1.11,W W W W W,"29,747",Victor Boniface - 7,Lukáš Hrádecký,,22,26.5,60.5,11,121,990,11.0,33,29,62,31,2,2,22,0,23.5,22.1,19.4,41.5,281.0,601.0,3.0,2.64,5.64,2.82,5.45,2.14,1.76,3.9,2.01,3.77
2,Bayern Munich,11,9,2,0,42,9,33,29,2.64,32.4,8.3,24.1,2.19,W W W W W,"62,500",Harry Kane - 17,Sven Ulreich,,23,27.7,62.2,11,121,990,11.0,41,35,76,38,3,3,16,1,32.4,30.1,27.2,57.3,333.0,639.0,3.73,3.18,6.91,3.45,6.64,2.94,2.47,5.42,2.74,5.21
3,Stuttgart,11,8,0,3,29,14,15,24,2.18,26.7,11.2,15.5,1.41,W W L L W,"53,583",Serhou Guirassy - 15,Alexander Nübel,,24,25.3,58.9,11,121,990,11.0,29,24,53,27,2,5,15,0,26.7,22.7,18.4,41.1,254.0,531.0,2.64,2.18,4.82,2.45,4.64,2.42,1.67,4.1,2.06,3.73
4,RB Leipzig,11,7,2,2,28,10,18,23,2.09,18.0,12.8,5.2,0.48,D W W L W,"44,961",Loïs Openda - 9,Janis Blaswich,,21,26.2,56.9,11,121,990,11.0,28,19,47,26,2,4,17,0,18.0,14.8,11.0,25.9,224.0,465.0,2.55,1.73,4.27,2.36,4.09,1.64,1.0,2.64,1.35,2.35
5,Dortmund,11,6,3,2,21,17,4,21,1.91,20.4,19.3,1.1,0.1,W W D L L,"81,365",Julian Brandt - 4,Gregor Kobel,,22,27.6,56.7,11,121,990,11.0,21,15,36,20,1,1,23,1,20.4,19.6,15.8,35.3,230.0,483.0,1.91,1.36,3.27,1.82,3.18,1.85,1.43,3.28,1.78,3.21
6,Hoffenheim,11,6,1,4,23,20,3,19,1.73,18.9,19.4,-0.5,-0.05,W L W L D,"26,768",Maximilian Beier - 6,Oliver Baumann,,25,28.7,48.9,11,121,990,11.0,23,10,33,19,4,4,30,0,18.9,15.7,10.9,26.6,175.0,430.0,2.09,0.91,3.0,1.73,2.64,1.71,0.99,2.7,1.43,2.42
7,Eint Frankfurt,11,4,6,1,17,11,6,18,1.64,16.4,15.3,1.0,0.1,W W D W D,"55,220",Omar Marmoush - 6,Kevin Trapp,,26,25.7,52.5,11,121,990,11.0,17,11,28,16,1,2,28,2,16.4,15.4,12.8,28.2,195.0,386.0,1.55,1.0,2.55,1.45,2.45,1.49,1.17,2.65,1.4,2.57
8,Freiburg,11,4,2,5,14,22,-8,14,1.27,15.8,17.3,-1.5,-0.14,L W L D L,"34,227",Vincenzo Grifo - 3,Noah Atubolu,,23,27.3,46.7,11,121,990,11.0,13,9,22,10,3,3,17,1,15.8,13.5,10.1,23.5,152.0,368.0,1.18,0.82,2.0,0.91,1.73,1.43,0.91,2.35,1.22,2.14
9,M'Gladbach,11,3,4,4,23,23,0,13,1.18,17.8,18.6,-0.8,-0.07,D L W D W,"51,097",Alassane Pléa - 5,Moritz Nicolas,,25,25.6,46.4,11,121,990,11.0,22,17,39,20,2,3,17,1,17.8,15.4,13.3,28.7,193.0,391.0,2.0,1.55,3.55,1.82,3.36,1.62,1.2,2.82,1.4,2.61
