Rk,Squad,MP_x,W,D,L,GF,GA,GD,Pts,Pts/MP,xG_x,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP_y,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_y,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
16,RKC Waalwijk,12,3,0,9,10,23,-13,9,0.75,13.4,19.8,-6.3,-0.53,L W L L L,"6,502","Michiel Kramer, Yassin Oukili - 3",Etienne Vaessen,,24,26.9,47.3,12,132,"1,080",12.0,10,7,17,8,2,2,18,1,13.4,11.9,9.0,20.9,196.0,407.0,0.83,0.58,1.42,0.67,1.25,1.12,0.75,1.87,0.99,1.74
17,Volendam,12,2,2,8,15,28,-13,8,0.67,17.0,22.5,-5.5,-0.46,L W L D L,"6,565",Robert Mühren - 5,Mio Backhaus,,28,23.9,46.9,12,132,"1,080",12.0,15,9,24,14,1,1,20,2,17.0,16.2,12.4,28.5,256.0,442.0,1.25,0.75,2.0,1.17,1.92,1.41,1.03,2.44,1.35,2.38
18,Vitesse,12,2,2,8,9,24,-15,8,0.67,12.2,20.9,-8.7,-0.73,D L D L L,"15,143",Marco van Ginkel - 4,Eloy Room,,23,25.7,48.6,12,132,"1,080",12.0,9,8,17,9,0,0,25,2,12.2,12.2,10.3,22.5,196.0,404.0,0.75,0.67,1.42,0.75,1.42,1.02,0.86,1.87,1.02,1.87
1,Benfica,11,9,1,1,23,9,14,28,2.55,23.1,11.0,12.0,1.09,W W D W W,"47,675",Ángel Di María - 5,Anatolii Trubin,,25,26.7,62.9,11,121,990,11.0,22,15,37,20,2,2,24,1,23.1,21.5,16.9,38.4,298.0,686.0,2.0,1.36,3.36,1.82,3.18,2.1,1.53,3.63,1.95,3.49
2,Sporting CP,11,9,1,1,23,11,12,28,2.55,20.1,8.4,11.7,1.06,W W W W L,"37,284",Viktor Gyökeres - 7,Antonio Adán,,22,27.2,58.3,11,121,990,11.0,23,17,40,21,2,2,36,2,20.1,18.6,14.2,32.8,235.0,547.0,2.09,1.55,3.64,1.91,3.45,1.82,1.29,3.12,1.69,2.98
3,Porto,11,8,1,2,15,8,7,25,2.27,18.3,9.8,8.5,0.77,L W W L W,"41,160","Iván Marcano, Mehdi Taremi... - 2",Diogo Costa,,27,26.8,59.9,11,121,990,11.0,15,11,26,13,2,4,42,3,18.3,15.1,12.4,27.6,245.0,558.0,1.36,1.0,2.36,1.18,2.18,1.66,1.13,2.79,1.38,2.51
4,Braga,11,7,2,2,30,18,12,23,2.09,22.1,16.8,5.3,0.48,W W D W W,"16,676",Simon Banza - 10,Matheus,,23,28.2,59.4,11,121,990,11.0,30,20,50,27,3,3,28,1,22.1,20.1,15.8,36.0,196.0,561.0,2.73,1.82,4.55,2.45,4.27,2.01,1.44,3.45,1.83,3.27
5,Moreirense,11,6,2,3,14,10,4,20,1.82,10.9,9.6,1.2,0.11,W D W W W,"3,397",André Luis - 4,Kewin,,22,26.7,44.0,11,121,990,11.0,14,13,27,14,0,0,31,3,10.9,10.9,8.9,19.8,188.0,344.0,1.27,1.18,2.45,1.27,2.45,0.99,0.81,1.8,0.99,1.8
6,Vitória,11,6,1,4,18,13,5,19,1.73,15.1,12.0,3.1,0.28,W W W L L,"15,862",João Mendes - 5,Bruno Varela,,22,26.1,51.4,11,121,990,11.0,17,13,30,16,1,2,27,2,15.1,13.4,10.8,24.2,162.0,430.0,1.55,1.18,2.73,1.45,2.64,1.37,0.98,2.35,1.22,2.2
7,Famalicão,11,4,4,3,11,10,1,16,1.45,8.7,13.4,-4.7,-0.42,D L L W D,"3,801",Jhonder Cádiz - 3,Luiz Lúcio Reis Júnior,,23,23.5,45.3,11,121,990,11.0,11,7,18,10,1,2,36,5,8.7,7.2,5.3,12.5,169.0,293.0,1.0,0.64,1.64,0.91,1.55,0.79,0.49,1.28,0.65,1.14
